nombre,categoria,origen,ingredientes,descripcion,tiempo_preparacion,dificultad
Receta 173,ensalada,España,"carne, banano, ajo, vinagre, pimienta, aceite de oliva, pan, mostaza, lentejas, aguacate","Receta deliciosa con mostaza, lentejas, ajo, banano, aceite de oliva, pimienta.",90,media
Receta 174,snack,EE.UU.,"miel, soya, aceite de oliva, huevo, aguacate, carne, mostaza","Receta deliciosa con mostaza, carne, huevo.",20,fácil
Receta 175,sopa,China,"tomate, huevo, papa, pimienta, manzana, soya, pollo, pan","Receta deliciosa con pan, pollo, tomate, pimienta, huevo, manzana.",16,difícil
Receta 176,ensalada,Perú,"pera, carne, queso, aceite de oliva, banano, espinaca","Receta deliciosa con espinaca, banano, queso, pera, aceite de oliva, carne.",111,fácil
Receta 177,almuerzo,Colombia,"pepino, tomate, pimienta, lentejas, sal, aceite de oliva, vinagre","Receta deliciosa con vinagre, pepino, tomate, pimienta, sal, lentejas.",84,difícil
Receta 178,desayuno,EE.UU.,"pera, espinaca, mantequilla, ajo, pan","Receta deliciosa con pera, ajo, mantequilla, espinaca, pan.",50,fácil
Receta 179,almuerzo,China,"pepino, vinagre, sal, pimienta, carne, pollo, yogur, pera, tomate, lentejas","Receta deliciosa con pimienta, yogur, lentejas, tomate, carne.",110,difícil
Receta 180,cena,Italia,"cebolla, lentejas, carne, espinaca, leche, ajo","Receta deliciosa con ajo, lentejas, cebolla, espinaca, carne.",118,difícil
Receta 181,bebida,Japón,"champiñones, papa, mostaza, lentejas, pescado, carne, maíz, fresas","Receta deliciosa con mostaza, lentejas, papa, maíz, fresas.",11,media
Receta 182,ensalada,España,"ajo, leche, pera, vinagre, soya, papa, huevo","Receta deliciosa con ajo, huevo, papa, vinagre, pera.",41,difícil
Receta 183,bebida,México,"lentejas, cebolla, carne, pera, leche, limón, papa","Receta deliciosa con limón, cebolla, lentejas, carne, pera, leche.",117,fácil
Receta 184,postre,China,"salsa de tomate, banano, fresas, aguacate, huevo, zanahoria, cebolla, mostaza, pan, soya","Receta deliciosa con mostaza, banano, salsa de tomate, cebolla, pan, aguacate.",86,difícil
Receta 185,ensalada,España,"aceite de oliva, pollo, pimienta, lentejas, espinaca, soya, carne, maíz, salsa de tomate, huevo","Receta deliciosa con aceite de oliva, maíz, carne, salsa de tomate, pimienta.",117,difícil
Receta 186,postre,China,"huevo, aguacate, manzana, limón, vinagre, pasta, tomate, salsa de tomate, pera","Receta deliciosa con pera, pasta, huevo, aguacate, manzana.",77,fácil
Receta 187,cena,Japón,"lentejas, arroz, mostaza, tomate, pepino, banano","Receta deliciosa con arroz, tomate, banano, pepino, lentejas, mostaza.",18,media
Receta 188,snack,Perú,"maíz, pimienta, champiñones, salsa de tomate, tomate, queso","Receta deliciosa con salsa de tomate, pimienta, maíz, tomate, champiñones, queso.",12,difícil
Receta 189,desayuno,Italia,"banano, sal, zanahoria, manzana, pepino, aceite de oliva, ajo, aguacate, pescado","Receta deliciosa con aguacate, sal, manzana, zanahoria.",91,difícil
Receta 190,cena,Italia,"frijoles, manzana, aceite de oliva, fresas, cebolla, miel","Receta deliciosa con frijoles, miel, aceite de oliva, cebolla, fresas, manzana.",5,fácil
Receta 191,sopa,España,"maíz, sal, pan, fresas, pepino, banano, salsa de tomate, vinagre","Receta deliciosa con fresas, banano, pan, pepino, vinagre.",82,difícil
Receta 192,postre,España,"sal, cebolla, espinaca, zanahoria, pasta","Receta deliciosa con espinaca, cebolla, zanahoria, sal, pasta.",69,difícil
Receta 193,desayuno,Francia,"fresas, zanahoria, pimienta, espinaca, vinagre, cebolla, limón, arroz, lentejas, queso","Receta deliciosa con vinagre, espinaca, pimienta, zanahoria.",42,difícil
Receta 194,desayuno,Italia,"cebolla, huevo, maíz, pan, pimienta","Receta deliciosa con maíz, huevo, pan, pimienta, cebolla.",30,media
Receta 195,cena,Japón,"miel, mantequilla, queso, champiñones, manzana, mostaza, pepino, aceite de oliva, leche, limón","Receta deliciosa con limón, champiñones, manzana, pepino, miel, mantequilla.",77,difícil
Receta 196,postre,Francia,"banano, tomate, frijoles, carne, miel, vinagre, mostaza","Receta deliciosa con banano, carne, mostaza, tomate.",30,difícil
Receta 197,ensalada,EE.UU.,"salsa de tomate, maíz, carne, zanahoria, aceite de oliva, queso, pera","Receta deliciosa con aceite de oliva, maíz, carne, pera.",103,difícil
Receta 198,postre,EE.UU.,"yogur, espinaca, sal, limón, zanahoria, leche, vinagre","Receta deliciosa con yogur, sal, espinaca, limón, vinagre, zanahoria.",99,difícil
Receta 199,desayuno,China,"pepino, pan, carne, mantequilla, salsa de tomate, ajo, sal, miel, espinaca","Receta deliciosa con mantequilla, salsa de tomate, sal.",37,media
Receta 200,bebida,EE.UU.,"pepino, aceite de oliva, espinaca, frijoles, maíz, pimienta, papa, fresas, lentejas, aguacate","Receta deliciosa con pimienta, lentejas, maíz, fresas, pepino.",21,media
Receta 201,almuerzo,India,"huevo, pasta, pepino, pera, papa, pan, mantequilla, ajo, salsa de tomate","Receta deliciosa con pasta, mantequilla, pera, papa, ajo, pan.",59,difícil
Receta 202,desayuno,India,"vinagre, champiñones, cebolla, carne, aguacate, miel, yogur, papa","Receta deliciosa con cebolla, miel, yogur, carne.",35,difícil
Receta 203,desayuno,Japón,"pera, salsa de tomate, pepino, pollo, soya, arroz","Receta deliciosa con pollo, arroz, salsa de tomate, pepino, soya, pera.",100,fácil
Receta 204,desayuno,Japón,"maíz, pimienta, fresas, arroz, carne, banano, pera, champiñones, frijoles, vinagre","Receta deliciosa con carne, vinagre, frijoles, maíz, fresas.",58,difícil
Receta 205,desayuno,China,"huevo, mostaza, arroz, pera, pan","Receta deliciosa con mostaza, arroz, pera.",66,difícil
Receta 206,snack,Francia,"carne, arroz, limón, banano, miel, queso, champiñones, frijoles","Receta deliciosa con arroz, carne, champiñones, frijoles.",54,fácil
Receta 207,desayuno,China,"banano, salsa de tomate, pan, papa, pescado, yogur, arroz","Receta deliciosa con salsa de tomate, papa, arroz, yogur, pescado.",83,fácil
Receta 208,postre,China,"lentejas, champiñones, yogur, manzana, tomate, mantequilla, frijoles","Receta deliciosa con frijoles, lentejas, manzana, mantequilla.",87,media
Receta 209,almuerzo,Japón,"aguacate, pasta, carne, sal, ajo, vinagre","Receta deliciosa con carne, vinagre, pasta, ajo, aguacate, sal.",115,difícil
Receta 210,cena,Perú,"huevo, papa, aguacate, pasta, vinagre, tomate, pimienta, fresas, pepino, soya","Receta deliciosa con pepino, vinagre, pasta, fresas.",119,media
Receta 211,snack,Colombia,"espinaca, aguacate, lentejas, soya, papa, leche, aceite de oliva","Receta deliciosa con espinaca, papa, aceite de oliva, aguacate, soya.",70,difícil
Receta 212,desayuno,Colombia,"pepino, frijoles, cebolla, miel, champiñones, queso, espinaca, banano, pollo, soya","Receta deliciosa con soya, miel, queso, pepino, champiñones.",112,media
Receta 213,desayuno,España,"pan, arroz, carne, mostaza, maíz, manzana","Receta deliciosa con maíz, arroz, mostaza, carne, pan.",118,difícil
Receta 214,postre,China,"pasta, banano, yogur, aceite de oliva, carne","Receta deliciosa con pasta, carne, banano, aceite de oliva.",118,media
Receta 215,desayuno,China,"vinagre, pollo, salsa de tomate, mantequilla, cebolla, pescado, frijoles, queso, pera","Receta deliciosa con salsa de tomate, pollo, pescado, queso, mantequilla, cebolla.",94,difícil
Receta 216,ensalada,India,"pan, huevo, papa, champiñones, limón, pimienta","Receta deliciosa con huevo, papa, pimienta, pan.",100,media
Receta 217,desayuno,EE.UU.,"aceite de oliva, ajo, papa, pollo, lentejas, limón, frijoles, cebolla, zanahoria","Receta deliciosa con cebolla, aceite de oliva, frijoles, ajo, pollo, lentejas.",85,difícil
Receta 218,almuerzo,México,"tomate, lentejas, miel, fresas, yogur","Receta deliciosa con tomate, yogur, lentejas, fresas, miel.",79,difícil
Receta 219,bebida,Perú,"leche, pescado, huevo, sal, manzana, cebolla, champiñones, lentejas, frijoles","Receta deliciosa con champiñones, huevo, cebolla, pescado.",46,difícil
Receta 220,bebida,México,"pera, frijoles, pan, mostaza, leche, queso","Receta deliciosa con pera, pan, frijoles, leche, mostaza.",62,difícil
Receta 221,bebida,India,"carne, pera, pollo, ajo, queso","Receta deliciosa con pollo, queso, carne, ajo, pera.",36,media
Receta 222,ensalada,EE.UU.,"aceite de oliva, miel, soya, yogur, limón, pescado, maíz, frijoles, vinagre","Receta deliciosa con limón, miel, maíz, aceite de oliva, frijoles.",79,media
Receta 223,bebida,EE.UU.,"mantequilla, yogur, ajo, maíz, leche, pera, limón, zanahoria, soya, pasta","Receta deliciosa con leche, soya, limón, pera, ajo.",93,media
Receta 224,desayuno,México,"ajo, zanahoria, vinagre, arroz, pollo, maíz, espinaca","Receta deliciosa con vinagre, zanahoria, espinaca, arroz, maíz, pollo.",35,difícil
Receta 225,sopa,Perú,"pollo, aceite de oliva, arroz, salsa de tomate, lentejas, manzana, pera, pescado","Receta deliciosa con manzana, pera, salsa de tomate, aceite de oliva, arroz.",89,difícil
Receta 226,snack,China,"mostaza, salsa de tomate, pera, pan, carne","Receta deliciosa con salsa de tomate, pan, mostaza.",64,media
Receta 227,almuerzo,Italia,"maíz, mantequilla, cebolla, carne, aceite de oliva, pera, frijoles","Receta deliciosa con pera, maíz, aceite de oliva, frijoles, carne.",116,difícil
Receta 228,postre,Perú,"champiñones, zanahoria, queso, arroz, mostaza, ajo, vinagre, pollo, sal","Receta deliciosa con arroz, sal, ajo, mostaza, queso.",6,difícil
Receta 229,postre,Colombia,"fresas, queso, zanahoria, frijoles, aguacate","Receta deliciosa con fresas, aguacate, queso, frijoles.",90,difícil
Receta 230,cena,EE.UU.,"banano, fresas, mantequilla, mostaza, vinagre, maíz, pescado, pepino, cebolla","Receta deliciosa con pescado, mantequilla, maíz, cebolla.",111,fácil
Receta 231,sopa,México,"zanahoria, banano, espinaca, limón, lentejas, salsa de tomate, aguacate, papa, ajo, pera","Receta deliciosa con espinaca, salsa de tomate, ajo.",36,difícil
Receta 232,desayuno,Perú,"yogur, miel, fresas, pescado, pan, ajo, salsa de tomate, pollo","Receta deliciosa con salsa de tomate, pollo, fresas.",74,difícil
Receta 233,almuerzo,India,"manzana, carne, aceite de oliva, espinaca, queso, mantequilla, yogur, banano","Receta deliciosa con queso, manzana, espinaca.",63,media
Receta 234,almuerzo,Francia,"mantequilla, maíz, cebolla, pepino, champiñones, yogur","Receta deliciosa con pepino, mantequilla, champiñones.",13,media
Receta 235,almuerzo,Italia,"fresas, pasta, lentejas, maíz, salsa de tomate, pescado, papa","Receta deliciosa con fresas, papa, salsa de tomate.",108,media
Receta 236,ensalada,España,"carne, champiñones, banano, huevo, fresas, pescado, yogur, mantequilla","Receta deliciosa con carne, banano, fresas, huevo, yogur.",59,media
Receta 237,bebida,India,"maíz, lentejas, mantequilla, banano, pan, vinagre, ajo","Receta deliciosa con pan, mantequilla, vinagre, maíz.",115,media
Receta 238,cena,España,"pescado, papa, limón, vinagre, pepino, queso","Receta deliciosa con pescado, papa, pepino, queso, limón, vinagre.",80,fácil
Receta 239,ensalada,México,"cebolla, tomate, mostaza, papa, carne, lentejas, pescado","Receta deliciosa con pescado, carne, papa, tomate.",28,media
Receta 240,ensalada,Colombia,"lentejas, soya, cebolla, pera, sal","Receta deliciosa con lentejas, pera, cebolla, sal.",71,media
Receta 241,desayuno,Japón,"pera, limón, leche, papa, soya, frijoles, arroz, pollo","Receta deliciosa con soya, papa, frijoles.",70,fácil
Receta 242,ensalada,EE.UU.,"mostaza, yogur, huevo, lentejas, cebolla, mantequilla, aguacate, queso","Receta deliciosa con mantequilla, cebolla, yogur, mostaza, lentejas, queso.",100,media
Receta 243,cena,EE.UU.,"mostaza, manzana, queso, banano, espinaca","Receta deliciosa con queso, banano, manzana, mostaza, espinaca.",89,media
Receta 244,almuerzo,Colombia,"vinagre, papa, champiñones, aceite de oliva, pescado, lentejas, queso, pasta, espinaca","Receta deliciosa con champiñones, vinagre, pasta, queso.",120,difícil
Receta 245,ensalada,España,"huevo, aguacate, queso, mantequilla, zanahoria, pollo, sal, lentejas","Receta deliciosa con queso, zanahoria, sal, huevo, lentejas.",62,fácil
Receta 246,almuerzo,España,"ajo, salsa de tomate, pasta, manzana, vinagre","Receta deliciosa con vinagre, salsa de tomate, pasta, ajo, manzana.",77,media
Receta 247,bebida,Perú,"pan, pasta, carne, espinaca, miel, pera, salsa de tomate, mostaza, sal","Receta deliciosa con salsa de tomate, pasta, carne, mostaza.",95,media
Receta 248,sopa,España,"banano, frijoles, mostaza, pepino, cebolla","Receta deliciosa con pepino, banano, frijoles, cebolla.",9,fácil
Receta 249,cena,Francia,"pera, ajo, vinagre, carne, mantequilla, zanahoria, maíz, espinaca, banano, papa","Receta deliciosa con maíz, zanahoria, pera, ajo, banano, papa.",21,media
Receta 250,snack,China,"queso, espinaca, arroz, aguacate, yogur, mantequilla, banano, carne, miel","Receta deliciosa con queso, arroz, banano, carne, aguacate.",110,difícil
Receta 251,almuerzo,Japón,"frijoles, ajo, limón, carne, pera, fresas, mantequilla, leche, salsa de tomate, pescado","Receta deliciosa con frijoles, carne, pera, ajo, limón, pescado.",40,media
Receta 252,cena,Perú,"pescado, pasta, pan, carne, tomate, huevo","Receta deliciosa con huevo, pasta, carne, tomate.",88,fácil
Receta 253,snack,Francia,"zanahoria, tomate, cebolla, leche, aceite de oliva, soya, arroz, salsa de tomate","Receta deliciosa con leche, cebolla, arroz, zanahoria.",80,media
Receta 254,postre,Perú,"zanahoria, pera, soya, frijoles, sal, pollo, pasta","Receta deliciosa con frijoles, pasta, sal.",77,media
Receta 255,almuerzo,EE.UU.,"champiñones, limón, espinaca, huevo, pepino, queso, pan, aguacate, ajo, pasta","Receta deliciosa con aguacate, ajo, champiñones, pepino.",45,fácil
Receta 256,cena,India,"queso, banano, salsa de tomate, ajo, pasta","Receta deliciosa con salsa de tomate, banano, pasta, queso, ajo.",28,fácil
Receta 257,ensalada,Japón,"aceite de oliva, zanahoria, lentejas, huevo, mostaza","Receta deliciosa con aceite de oliva, mostaza, zanahoria.",8,difícil
Receta 258,almuerzo,Colombia,"banano, arroz, miel, queso, carne, espinaca, cebolla, pescado, soya, maíz","Receta deliciosa con miel, queso, cebolla, maíz, arroz.",5,media
Receta 259,cena,Perú,"aceite de oliva, pan, papa, mantequilla, zanahoria, limón, banano, pollo, huevo, maíz","Receta deliciosa con pan, banano, papa, pollo.",118,fácil
Receta 260,ensalada,Colombia,"mantequilla, huevo, banano, tomate, maíz, frijoles, pepino, manzana","Receta deliciosa con manzana, pepino, maíz, frijoles.",95,fácil
Receta 261,bebida,Japón,"tomate, leche, limón, pasta, yogur, espinaca, arroz","Receta deliciosa con yogur, leche, arroz, tomate, limón, pasta.",88,difícil
Receta 262,ensalada,China,"miel, pepino, papa, cebolla, tomate, aguacate","Receta deliciosa con papa, miel, cebolla, tomate.",32,media
Receta 263,cena,Perú,"espinaca, zanahoria, pan, huevo, carne, arroz, miel, tomate, lentejas, pepino","Receta deliciosa con pepino, carne, espinaca, miel.",5,media
Receta 264,ensalada,India,"arroz, yogur, banano, carne, salsa de tomate, pimienta, lentejas, pepino, papa, manzana","Receta deliciosa con salsa de tomate, manzana, yogur, banano.",34,difícil
Receta 265,almuerzo,China,"pescado, aceite de oliva, pasta, mostaza, papa, leche, cebolla, pollo, manzana","Receta deliciosa con pollo, manzana, mostaza, leche, papa.",27,media
Receta 266,almuerzo,Colombia,"cebolla, carne, pasta, banano, vinagre, mantequilla","Receta deliciosa con pasta, mantequilla, cebolla, carne, vinagre.",19,difícil
Receta 267,sopa,Italia,"salsa de tomate, huevo, pimienta, lentejas, banano, aguacate","Receta deliciosa con pimienta, banano, lentejas, aguacate, salsa de tomate, huevo.",6,difícil
Receta 268,bebida,Francia,"miel, fresas, mostaza, papa, pimienta, vinagre","Receta deliciosa con fresas, miel, vinagre.",8,difícil
Receta 269,cena,China,"mostaza, papa, zanahoria, pan, fresas, ajo","Receta deliciosa con ajo, zanahoria, pan.",43,difícil
Receta 270,postre,EE.UU.,"arroz, pasta, pera, yogur, pollo, miel, ajo, vinagre, zanahoria","Receta deliciosa con pera, yogur, arroz, zanahoria.",16,difícil
Receta 271,postre,Japón,"vinagre, leche, maíz, cebolla, pollo","Receta deliciosa con cebolla, vinagre, pollo, leche, maíz.",18,media
Receta 272,desayuno,México,"pescado, vinagre, banano, frijoles, salsa de tomate","Receta deliciosa con frijoles, salsa de tomate, pescado, vinagre, banano.",116,fácil
Receta 273,sopa,España,"vinagre, yogur, frijoles, queso, pimienta","Receta deliciosa con queso, yogur, frijoles, vinagre, pimienta.",24,media
Receta 274,cena,EE.UU.,"queso, carne, ajo, aguacate, sal, vinagre, fresas, huevo, tomate","Receta deliciosa con ajo, fresas, tomate, sal.",75,difícil
Receta 275,ensalada,Colombia,"limón, papa, frijoles, tomate, aceite de oliva","Receta deliciosa con aceite de oliva, limón, papa.",25,difícil
Receta 276,almuerzo,México,"carne, mostaza, pera, banano, cebolla, aguacate","Receta deliciosa con aguacate, cebolla, pera, mostaza.",26,fácil
Receta 277,bebida,México,"papa, huevo, pepino, lentejas, arroz, vinagre","Receta deliciosa con arroz, pepino, papa, lentejas.",81,media
Receta 278,bebida,Colombia,"maíz, limón, soya, cebolla, ajo","Receta deliciosa con ajo, limón, cebolla, soya.",82,difícil
Receta 279,postre,Japón,"salsa de tomate, pimienta, sal, arroz, aguacate, maíz, frijoles","Receta deliciosa con maíz, pimienta, sal.",34,fácil
Receta 280,cena,Perú,"zanahoria, queso, aceite de oliva, pan, pimienta, salsa de tomate, mantequilla","Receta deliciosa con aceite de oliva, mantequilla, queso, pan, pimienta.",54,difícil
Receta 281,almuerzo,China,"mostaza, maíz, pollo, soya, banano, limón, cebolla, pera, arroz, pimienta","Receta deliciosa con limón, pera, arroz.",98,fácil
Receta 282,postre,Colombia,"pera, huevo, miel, mostaza, ajo, sal, zanahoria","Receta deliciosa con sal, mostaza, huevo, ajo, zanahoria.",61,media
Receta 283,desayuno,Japón,"pera, cebolla, champiñones, sal, miel","Receta deliciosa con pera, cebolla, miel.",78,fácil
Receta 284,ensalada,China,"mostaza, cebolla, fresas, pan, soya, maíz, aguacate, pepino, zanahoria, sal","Receta deliciosa con fresas, aguacate, soya.",68,difícil
Receta 285,sopa,China,"carne, huevo, aguacate, manzana, frijoles, tomate, aceite de oliva, soya, pera, fresas","Receta deliciosa con huevo, pera, fresas.",72,fácil
Receta 286,bebida,Colombia,"manzana, mantequilla, lentejas, arroz, mostaza, leche, huevo, vinagre","Receta deliciosa con mostaza, manzana, mantequilla, huevo, vinagre.",83,media
Receta 287,desayuno,México,"pescado, pan, pasta, papa, lentejas, pepino, salsa de tomate, carne","Receta deliciosa con pasta, salsa de tomate, papa, pepino, carne.",30,difícil
Receta 288,postre,China,"cebolla, carne, maíz, huevo, aguacate, aceite de oliva","Receta deliciosa con huevo, carne, aceite de oliva, cebolla, maíz.",24,media
Receta 289,desayuno,México,"huevo, lentejas, mostaza, espinaca, miel, fresas, cebolla, aguacate, pasta, tomate","Receta deliciosa con tomate, espinaca, fresas.",35,fácil
Receta 290,postre,España,"queso, zanahoria, pasta, tomate, espinaca, carne, aceite de oliva, leche, pimienta, limón","Receta deliciosa con limón, zanahoria, pasta, aceite de oliva, carne, leche.",23,difícil
Receta 291,bebida,India,"salsa de tomate, pepino, pollo, vinagre, pan","Receta deliciosa con vinagre, pan, salsa de tomate.",32,difícil
Receta 292,sopa,India,"pimienta, salsa de tomate, limón, pepino, mostaza, champiñones, carne","Receta deliciosa con limón, champiñones, mostaza, carne, pimienta, pepino.",93,fácil
Receta 293,postre,China,"leche, salsa de tomate, ajo, pepino, vinagre, pimienta, pera, tomate","Receta deliciosa con leche, salsa de tomate, pepino, tomate, pimienta.",34,media
Receta 294,cena,Colombia,"pescado, sal, maíz, pimienta, pepino, ajo, frijoles, tomate","Receta deliciosa con tomate, ajo, pepino, frijoles, sal, pescado.",14,fácil
Receta 295,snack,Italia,"zanahoria, banano, pera, tomate, huevo, lentejas, queso, pasta, salsa de tomate, ajo","Receta deliciosa con banano, huevo, tomate, queso.",85,difícil
Receta 296,bebida,Italia,"pepino, pera, pollo, salsa de tomate, lentejas, frijoles, soya, fresas, mostaza","Receta deliciosa con lentejas, mostaza, pollo, frijoles, soya.",62,fácil
Receta 297,ensalada,España,"frijoles, aguacate, huevo, pepino, soya","Receta deliciosa con huevo, aguacate, frijoles.",113,fácil
Receta 298,snack,China,"ajo, fresas, aceite de oliva, pollo, banano, papa","Receta deliciosa con papa, ajo, banano, aceite de oliva.",109,fácil
Receta 299,almuerzo,México,"tomate, yogur, espinaca, queso, soya, pera","Receta deliciosa con tomate, yogur, espinaca, soya.",52,media
Receta 300,snack,México,"vinagre, pasta, papa, pan, banano","Receta deliciosa con papa, banano, pasta, pan.",76,difícil
Receta 301,desayuno,China,"fresas, zanahoria, leche, carne, yogur, mantequilla, aguacate, pasta, pimienta","Receta deliciosa con yogur, leche, carne, mantequilla, zanahoria, fresas.",80,difícil
Receta 302,almuerzo,Francia,"papa, limón, fresas, pera, carne, pescado, maíz, espinaca","Receta deliciosa con fresas, maíz, espinaca, pera.",29,fácil
Receta 303,postre,EE.UU.,"arroz, salsa de tomate, miel, soya, pescado, espinaca","Receta deliciosa con espinaca, salsa de tomate, arroz, pescado, soya.",103,fácil
Receta 304,sopa,EE.UU.,"yogur, ajo, fresas, carne, vinagre, tomate, pepino","Receta deliciosa con tomate, fresas, yogur, vinagre, pepino, ajo.",30,fácil
Receta 305,ensalada,India,"mantequilla, limón, fresas, tomate, leche, cebolla, queso, maíz, pan, lentejas","Receta deliciosa con leche, fresas, cebolla.",112,media
Receta 306,snack,EE.UU.,"banano, maíz, papa, miel, aguacate, huevo, champiñones, soya, salsa de tomate, mostaza","Receta deliciosa con soya, miel, mostaza, huevo.",24,media
Receta 307,bebida,México,"queso, limón, espinaca, manzana, ajo","Receta deliciosa con espinaca, queso, manzana, ajo.",25,difícil
Receta 308,ensalada,Francia,"maíz, pasta, leche, frijoles, papa, pepino, fresas, mantequilla","Receta deliciosa con fresas, leche, frijoles, pasta, maíz, pepino.",9,difícil
Receta 309,almuerzo,Colombia,"pollo, miel, pepino, soya, pera, lentejas, maíz","Receta deliciosa con soya, maíz, pera, pollo, miel, lentejas.",68,fácil
Receta 310,cena,España,"frijoles, salsa de tomate, aguacate, zanahoria, lentejas","Receta deliciosa con aguacate, salsa de tomate, lentejas, zanahoria, frijoles.",65,difícil
Receta 311,bebida,China,"zanahoria, aceite de oliva, sal, mostaza, fresas, miel","Receta deliciosa con fresas, miel, zanahoria.",65,difícil
Receta 312,ensalada,Francia,"manzana, soya, cebolla, mantequilla, pan, frijoles, salsa de tomate, papa","Receta deliciosa con manzana, soya, salsa de tomate, cebolla, mantequilla, papa.",69,media
Receta 313,ensalada,Japón,"yogur, pimienta, salsa de tomate, carne, sal, pan","Receta deliciosa con yogur, salsa de tomate, carne.",70,fácil
Receta 314,snack,Japón,"banano, sal, mantequilla, soya, pan","Receta deliciosa con pan, sal, soya.",105,difícil
Receta 315,almuerzo,Colombia,"frijoles, pollo, espinaca, soya, maíz, arroz","Receta deliciosa con frijoles, arroz, espinaca.",54,difícil
Receta 316,snack,China,"fresas, papa, mostaza, frijoles, carne, sal, champiñones, lentejas","Receta deliciosa con frijoles, champiñones, fresas, sal, carne, lentejas.",43,media
Receta 317,cena,China,"salsa de tomate, manzana, banano, maíz, soya, pimienta, miel, arroz, pera, lentejas","Receta deliciosa con pera, miel, banano, lentejas, soya.",111,difícil
Receta 318,cena,India,"pan, mostaza, mantequilla, fresas, salsa de tomate, queso, banano, pollo, arroz, frijoles","Receta deliciosa con mostaza, salsa de tomate, fresas, frijoles, queso.",114,media
Receta 319,snack,México,"espinaca, soya, ajo, arroz, vinagre, zanahoria, huevo, pimienta, lentejas","Receta deliciosa con huevo, ajo, pimienta, zanahoria, espinaca.",10,fácil
Receta 320,almuerzo,EE.UU.,"frijoles, tomate, papa, banano, lentejas, pepino, aguacate, limón, huevo, maíz","Receta deliciosa con tomate, pepino, frijoles.",75,media
Receta 321,ensalada,China,"miel, pan, champiñones, manzana, aguacate, vinagre, carne, espinaca, ajo, zanahoria","Receta deliciosa con pan, vinagre, aguacate.",64,media
Receta 322,bebida,Francia,"maíz, arroz, mantequilla, lentejas, limón, soya","Receta deliciosa con limón, lentejas, arroz, mantequilla, maíz, soya.",11,difícil
Receta 323,ensalada,Perú,"vinagre, cebolla, espinaca, miel, frijoles, pescado, limón, mostaza, soya, zanahoria","Receta deliciosa con soya, mostaza, zanahoria, pescado, espinaca, cebolla.",82,difícil
Receta 324,desayuno,Colombia,"espinaca, aceite de oliva, arroz, soya, huevo, banano, carne","Receta deliciosa con soya, aceite de oliva, banano, carne, espinaca, huevo.",77,media
Receta 325,postre,Italia,"pimienta, maíz, pan, cebolla, banano, pollo, papa, fresas, pera","Receta deliciosa con fresas, pimienta, pera.",20,difícil
Receta 326,bebida,Perú,"pimienta, pera, carne, limón, mantequilla, aceite de oliva","Receta deliciosa con mantequilla, limón, aceite de oliva, pera, pimienta, carne.",48,fácil
Receta 327,sopa,México,"sal, frijoles, huevo, leche, papa, lentejas, cebolla","Receta deliciosa con lentejas, papa, leche, sal.",28,fácil
Receta 328,snack,Perú,"aceite de oliva, arroz, salsa de tomate, fresas, huevo, pera, soya, banano, queso, carne","Receta deliciosa con huevo, pera, arroz, banano.",14,difícil
Receta 329,desayuno,Perú,"limón, arroz, salsa de tomate, cebolla, aceite de oliva, queso","Receta deliciosa con salsa de tomate, aceite de oliva, limón, queso, cebolla, arroz.",51,fácil
Receta 330,almuerzo,España,"champiñones, banano, pera, arroz, carne, huevo","Receta deliciosa con carne, huevo, pera, arroz.",70,difícil
Receta 331,desayuno,México,"tomate, manzana, mostaza, miel, limón, queso, pollo","Receta deliciosa con tomate, mostaza, limón, pollo.",73,difícil
Receta 332,sopa,Perú,"banano, ajo, pera, carne, mostaza","Receta deliciosa con banano, mostaza, ajo, pera, carne.",83,fácil
Receta 333,almuerzo,Perú,"pollo, miel, carne, vinagre, aguacate, limón, tomate, queso, pera","Receta deliciosa con queso, pera, miel, carne, pollo, vinagre.",113,fácil
Receta 334,sopa,India,"cebolla, maíz, pera, sal, arroz, vinagre, lentejas, soya","Receta deliciosa con sal, maíz, vinagre, soya.",13,media
Receta 335,snack,España,"queso, pepino, leche, miel, limón, ajo, pimienta","Receta deliciosa con ajo, leche, queso.",90,difícil
Receta 336,almuerzo,EE.UU.,"pasta, mostaza, cebolla, miel, pescado, fresas","Receta deliciosa con pasta, miel, mostaza.",54,difícil
Receta 337,ensalada,Japón,"yogur, aceite de oliva, champiñones, banano, lentejas, tomate, mantequilla, maíz, mostaza","Receta deliciosa con lentejas, tomate, aceite de oliva.",10,media
Receta 338,desayuno,España,"mantequilla, espinaca, limón, sal, pan, champiñones","Receta deliciosa con limón, mantequilla, sal, pan, espinaca, champiñones.",19,fácil
Receta 339,sopa,China,"mantequilla, zanahoria, espinaca, papa, banano, pescado","Receta deliciosa con mantequilla, pescado, zanahoria.",26,fácil
Receta 340,snack,Francia,"fresas, frijoles, ajo, soya, pollo, pepino, carne, yogur, papa","Receta deliciosa con yogur, pollo, frijoles, soya, ajo, pepino.",112,media
Receta 341,snack,EE.UU.,"pimienta, frijoles, queso, pollo, aguacate, manzana","Receta deliciosa con frijoles, manzana, aguacate, pollo, queso, pimienta.",19,media
Receta 342,bebida,Colombia,"tomate, soya, pera, papa, champiñones, pepino, aceite de oliva, pescado","Receta deliciosa con tomate, champiñones, pepino, pera, soya, papa.",14,fácil
